104.207.148.0/22,"AS-CHOOPA - Choopa, LLC",US
104.207.156.0/22,"AS-CHOOPA - Choopa, LLC",US
104.208.0.0/13,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation",US
104.218.232.0/24,"SERVERHUB-DALLAS - Eonix Corporation",US
104.218.234.0/23,"SERVERHUB-DALLAS - Eonix Corporation",US
104.224.0.0/18,"ROYA - Roya Hosting LLC",US
104.236.0.0/16,NO_N,ZZ
104.236.0.0/18,NO_N,ZZ
104.236.192.0/18,NO_N,ZZ
104.236.64.0/18,NO_N,ZZ
104.237.128.0/19,"SOFTLAYER - SoftLayer Technologies Inc.",US
104.238.128.0/18,"AS-CHOOPA - Choopa, LLC",US
104.238.144.0/23,"AS-CHOOPA - Choopa, LLC",US
104.238.152.0/22,"AS-CHOOPA - Choopa, LLC",US
104.238.176.0/23,"AS-CHOOPA - Choopa, LLC",US
104.238.80.0/22,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US
104.238.92.0/22,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US
104.245.38.0/23,"ATLANTIC-NET - Atlantic.net, Inc.",US
104.254.88.0/21,"GLOBECORP-NETWORKS - Globecorp Networks",US
104.255.64.0/21,"VOLUMEDRIVE - VolumeDrive",US
104.32.0.0/14,"ROADRUNNER-WEST - Time Warner Cable Internet LLC",US
104.40.0.0/13,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation",US
105.101.0.0/16,ALGTEL-AS,DZ
105.106.0.0/16,ALGTEL-AS,DZ
105.109.128.0/19,ALGTEL-AS,DZ
105.111.0.0/17,ALGTEL-AS,DZ
105.152.0.0/16,IAM-AS,MA
105.155.144.0/21,MT-MPLS,MA
105.158.16.0/21,MT-MPLS,MA
105.208.0.0/12,MTNNS-AS,ZA
105.224.0.0/14,Telkom-Internet,ZA
105.225.1.0/24,Telkom-Internet,ZA
105.228.0.0/16,Telkom-Internet,ZA
106.184.0.0/18,"KDDI KDDI CORPORATION",JP
106.185.0.0/17,"KDDI KDDI CORPORATION",JP
106.186.64.0/18,"KDDI KDDI CORPORATION",JP
106.240.0.0/12,"LGDACOM LG DACOM Corporation",KR
106.39.192.0/19,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
107.0.0.0/15,"COMCAST-7922 - Comcast Cable Communications, Inc.",US
107.0.22.0/24,"COMCAST-7015 - Comcast Cable Communications Holdings, Inc",US
107.150.32.0/19,"DATASHACK - DataShack, LC",US
107.150.33.136/29,"DATASHACK - DataShack, LC",US
107.155.64.0/18,"INCERO - Incero LLC",US
107.155.87.0/24,"INCERO - Incero LLC",US
107.161.144.0/20,"AS-COLOCROSSING - ColoCrossing",US
107.161.159.0/24,"AS-COLOCROSSING - ColoCrossing",US
107.168.32.0/24,"SOFTLAYER - SoftLayer Technologies Inc.",US
107.170.0.0/16,"DIGITALOCEAN-ASN-NY2 - Digital Ocean, Inc.",US
107.170.0.0/17,"DIGITALOCEAN-ASN-NY2 - Digital Ocean, Inc.",US
107.170.160.0/19,"DIGITALOCEAN-ASN-NY2 - Digital Ocean, Inc.",US
107.170.192.0/18,"DIGITALOCEAN-ASN - Digital Ocean, Inc.",US
107.172.0.0/14,"AS-COLOCROSSING - ColoCrossing",US
107.172.0.0/20,"AS-COLOCROSSING - ColoCrossing",US
107.181.160.0/19,"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.",US
107.181.160.0/24,"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.",US
107.182.16.0/20,"VOLUMEDRIVE - VolumeDrive",US
107.190.160.0/20,"OPPOBOX - OppoBox",US
107.191.33.0/28,"AS-CHOOPA - Choopa, LLC",US
107.20.0.0/14,"AMAZON-AES - Amazon.com, Inc.",US
107.20.0.0/16,"AMAZON-AES - Amazon.com, Inc.",US
107.21.64.0/18,"AMAZON-AES - Amazon.com, Inc.",US
107.4.0.0/15,"COMCAST-7922 - Comcast Cable Communications, Inc.",US
107.6.128.0/18,"SINGLEHOP-INC - SingleHop",US
108.163.192.0/18,"SINGLEHOP-INC - SingleHop",US
108.163.200.0/24,"SINGLEHOP-INC - SingleHop",US
108.168.128.0/19,"SOFTLAYER - SoftLayer Technologies Inc.",US
108.171.104.0/21,"RBLHST-FL - Reliablehosting.com",US
108.171.192.0/19,"WEBNX - WebNX, Inc.",US
108.174.144.0/21,"SOFTLAYER - SoftLayer Technologies Inc.",US
108.174.62.0/23,"AS-COLOCROSSING - ColoCrossing",US
108.175.160.0/20,"24SHELLS - 24 SHELLS",US
108.179.224.0/22,"CYRUSONE - CyrusOne LLC",US
108.186.192.0/18,"PEGTECHINC - PEG TECH INC",US
108.19.0.0/16,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business",US
108.192.0.0/10,"ATT-INTERNET4 - AT&T Services, Inc.",US
108.5.0.0/16,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business",US
108.58.0.0/16,"CABLE-NET-1 - Cablevision Systems Corp.",US
108.59.0.0/20,"LEASEWEB-US - Leaseweb USA, Inc.",US
108.59.240.0/20,"ITCDELTA - Earthlink, Inc.",US
108.61.0.0/16,"AS-CHOOPA - Choopa, LLC",US
108.61.0.0/19,"AS-CHOOPA - Choopa, LLC",US
108.61.122.0/24,"AS-CHOOPA - Choopa, LLC",US
108.61.164.0/22,"AS-CHOOPA - Choopa, LLC",US
109.0.0.0/11,"LDCOMNET Societe Francaise du Radiotelephone S.A",FR
109.104.78.0/23,"AS20738 Webfusion Internet Solutions",GB
109.104.96.0/19,"C4L-AS Connexions4London Ltd",GB
109.110.64.0/19,"SEVSTAR Lancom Ltd.",UA
109.120.128.0/18,"INFOBOX-AS ZAO _National Telecommunications_",RU
109.120.169.0/24,"INFOBOX-AS ZAO _National Telecommunications_",RU
109.120.180.0/22,"LEASEWEB-NL LeaseWeb Netherlands B.V.",NL
109.123.192.0/18,"CASABLANCA-AS Casablanca INT",CZ
109.123.64.0/18,"UK2NET-AS UK2 - Ltd",GB
109.127.72.0/21,"NWRZ Newroz Telecom Ltd. AS Number",IQ
109.128.0.0/14,"BELGACOM-SKYNET-AS Proximus NV",BE
109.144.0.0/12,"BT-UK-AS BT Public Internet Service",GB
109.161.60.0/22,"ASN-YARTELECOM PJSC Rostelecom",RU
109.162.0.0/17,"KSNET-AS _Kyivstar_ PJSC",UA
109.162.0.0/18,"KSNET-AS _Kyivstar_ PJSC",UA
109.163.234.0/23,"VOXILITY Voxility S.R.L.",RO
109.163.234.0/28,"VOXILITY Voxility S.R.L.",RO
109.166.128.0/17,"ASN-ORANGE-ROMANIA Orange Romania S.A.",RO
109.171.64.0/18,"ZSTTKAS JSC _Zap-Sib TransTeleCom_, Novosibirsk",RU
109.175.96.0/21,"BIHNET BH Telecom d.d. Sarajevo",BA
109.190.0.0/16,"OVH-TELECOM OVH SAS",FR
109.199.96.0/20,"SINGLEHOP-INC - SingleHop",US
109.200.224.0/19,"BREEZE-NETWORK TOV TRK _Briz_",UA
109.203.96.0/19,"SIMPLYTRANSIT Simply Transit Ltd",GB
109.215.0.0/16,"AS3215 Orange S.A.",FR
109.227.64.0/19,"MCLAUT-AS LLC _McLaut-Invest_",UA
109.230.238.0/24,NO_N,ZZ
109.234.39.0/24,"WEBZILLA Webzilla B.V.",NL
109.237.128.0/20,"HLKOMM HL komm Telekommunikations GmbH",DE
109.239.48.0/20,"DOMAINFACTORY domainfactory GmbH",DE
109.246.0.0/16,"KEYCOM-AS Keycom PLC",GB
109.252.0.0/16,"ASN-MGTS-USPD OJS Moscow city telephone network",RU
109.52.0.0/15,"ASN-TIM Telecom Italia Mobile",IT
109.73.73.48/29,"REDSTATION Redstation Limited",GB
109.74.250.0/24,"CUSTDC Custodian Ltd.",GB
109.75.167.102/32,"IOMART-AS Iomart",GB
109.86.15.0/24,"BANKINFORM-AS CONTENT DELIVERY NETWORK LTD",UA
109.87.138.0/24,"BANKINFORM-AS CONTENT DELIVERY NETWORK LTD",UA
109.87.144.0/24,"BANKINFORM-AS CONTENT DELIVERY NETWORK LTD",UA
109.98.0.0/16,"RTD TELEKOM ROMANIA COMMUNICATION S.A",RO
110.137.112.0/20,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
110.137.128.0/20,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
110.137.144.0/21,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
110.159.120.0/22,"TMNET-AS-AP TM Net, Internet Service Provider",MY
110.164.0.0/17,"TRIPLETNET-AS-AP TripleT Internet Internet service provider Bangkok",TH
110.170.128.0/17,"TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd.",TH
110.171.128.0/17,"TRUE-AS-AP True Internet Co.,Ltd.",TH
110.32.224.0/19,"MPX-AS Microplex PTY LTD",AU
110.34.168.0/21,"VPLSNET - Krypt Technologies",US
110.54.140.0/22,"LBNI Liberty Broadcasting Network Inc",PH
110.76.144.0/24,NO_N,ZZ
110.78.128.0/19,NO_N,ZZ
110.80.0.0/13,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
110.80.128.0/20,NO_N,ZZ
110.88.0.0/14,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
111.1.128.0/19,"CMNET-ZHEJIANG-AP China Mobile communications corporation",CN
111.11.184.0/24,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
111.118.176.0/20,"CYFUTURE-AS-IN Cyber Futuristics India Pvt Ltd",IN
111.118.213.0/24,"CONFLUENCE-NETWORK-INC - Confluence Networks Inc",VG
111.12.0.0/17,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
111.13.0.0/17,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
111.160.0.0/13,"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN
111.176.0.0/13,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
111.223.255.0/24,"UNPAD-AS-ID Universitas Padjadjaran",ID
111.235.138.0/24,"VODIEN-AS-AP-LOC2 Vodien Internet Solutions Pte Ltd",SG
111.246.0.0/16,"HINET Data Communication Business Group",TW
111.253.0.0/16,"HINET Data Communication Business Group",TW
111.68.112.0/24,"VARNION-AS-ID Varnion Technology Semesta, PT",ID
111.68.128.0/17,"NTT-COMMUNICATIONS-2914 - NTT America, Inc.",US
111.94.64.0/19,"FASTNET-AS-ID Linknet-Fastnet ASN",ID
112.111.0.0/16,"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN
112.176.0.0/12,"KIXS-AS-KR Korea Telecom",KR
112.192.0.0/14,"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN
112.198.77.0/24,NO_N,ZZ
112.198.79.0/24,NO_N,ZZ
112.199.96.0/19,"ETPI-IDS-AS-AP Eastern Telecoms Phils., Inc.",PH
112.20.128.0/19,"CMNET-JIANGSU-AP China Mobile communications corporation",CN
112.209.160.0/19,"IPG-AS-AP Philippine Long Distance Telephone Company",PH
112.210.128.0/17,"IPG-AS-AP Philippine Long Distance Telephone Company",PH
112.210.160.0/19,"IPG-AS-AP Philippine Long Distance Telephone Company",PH
112.210.192.0/19,"IPG-AS-AP Philippine Long Distance Telephone Company",PH
112.211.0.0/19,"IPG-AS-AP Philippine Long Distance Telephone Company",PH
112.72.0.0/20,"SKYCC-AS-MAIN SKY C&C LLC",MN
112.74.0.0/17,"CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd.",CN
112.78.0.0/20,"ODS-AS-VN Online data services",VN
112.78.192.0/19,"SAKURA-C SAKURA Internet Inc.",JP
112.88.0.0/13,"CHINA169-GZ China Unicom IP network China169 Guangdong province",CN
112.95.32.0/21,"CNCGROUP-SZ China Unicom Shenzen network",CN
113.10.128.0/19,"NWT-AS-AP AS number for New World Telephone Ltd.",HK
113.10.148.0/24,"NWT-AS-AP AS number for New World Telephone Ltd.",HK
113.136.0.0/13,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
113.161.128.0/19,"VNPT-AS-VN VNPT Corp",VN
113.161.160.0/19,"VNPT-AS-VN VNPT Corp",VN
113.174.144.0/20,"VNPT-AS-VN VNPT Corp",VN
113.175.112.0/20,"VNPT-AS-VN VNPT Corp",VN
113.186.0.0/16,"VNPT-AS-VN VNPT Corp",VN
113.187.16.0/21,"VNPT-AS-VN VNPT Corp",VN
113.20.80.0/20,"FINTEL-FJ Fiji International Telecomunications Ltd",FJ
113.21.224.0/22,"HDNETNZ hd.net.nz",NZ
113.64.0.0/11,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
113.96.0.0/12,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
114.121.128.0/22,"TELKOMSEL-ASN-ID PT. Telekomunikasi Selular",ID
114.240.0.0/12,"CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network",CN
114.26.0.0/16,"HINET Data Communication Business Group",TW
114.32.0.0/12,"HINET Data Communication Business Group",TW
115.112.0.0/13,"TATACOMM-AS TATA Communications formerly VSNL is Leading ISP",IN
115.124.125.0/24,"HOSTCOIN-AS-IN-AP ESDS Software Solution Pvt. Ltd.",IN
115.132.0.0/14,"TMNET-AS-AP TM Net, Internet Service Provider",MY
115.133.0.0/16,"TMNET-AS-AP TM Net, Internet Service Provider",MY
115.144.166.0/24,"KIXS-AS-KR Korea Telecom",KR
115.159.64.0/23,"CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited",CN
115.159.86.0/23,"CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited",CN
115.159.90.0/23,"CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited",CN
115.161.128.0/21,"FCABLE-AS Qrix, Inc.",KR
115.187.32.0/19,"ALLIANCE-GATEWAY-AS-AP Alliance Broadband Services Pvt. Ltd.",IN
115.224.0.0/12,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
115.29.0.0/16,"CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd.",CN
115.47.0.0/16,"CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network",CN
115.64.182.0/23,"TPG-INTERNET-AP TPG Telecom Limited",AU
115.74.0.0/15,"VIETEL-AS-AP Viettel Corporation",VN
115.77.0.0/20,"VIETEL-AS-AP Viettel Corporation",VN
115.78.0.0/15,"VIETEL-AS-AP Viettel Corporation",VN
115.88.0.0/13,"LGDACOM LG DACOM Corporation",KR
115.99.0.0/21,"HATHWAY-NET-AP Hathway IP Over Cable Internet",IN
116.0.16.0/21,"CIA-AS Bucan Holdings Pty Ltd",AU
116.112.0.0/14,"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN
116.16.0.0/12,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
116.193.159.32/27,"PSWITCH-HK PACSWITCH GLOBAL IP NETWORK",HK
116.202.96.0/19,NO_N,ZZ
116.226.96.0/19,"CHINANET-SH-AP China Telecom (Group)",CN
116.49.32.0/19,"HKTIMS-AP PCCW Limited",HK
116.8.0.0/14,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
116.96.0.0/12,"VIETTEL-AS-VN Viettel Corporation",VN
116.98.128.0/20,"VIETTEL-AS-VN Viettel Corporation",VN
117.128.0.0/10,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
117.135.240.0/20,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
117.16.244.0/24,"INCHEON-AS-KR UNIVERSITY OF INCHEON",KR
117.166.0.0/16,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
117.169.0.0/17,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
117.177.240.0/24,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
117.177.243.0/24,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
117.193.160.0/20,"BSNL-NIB National Internet Backbone",IN
117.193.240.0/20,"BSNL-NIB National Internet Backbone",IN
117.194.0.0/20,"BSNL-NIB National Internet Backbone",IN
117.199.208.0/20,"BSNL-NIB National Internet Backbone",IN
117.201.0.0/18,"BSNL-NIB National Internet Backbone",IN
117.211.32.0/20,"BSNL-NIB National Internet Backbone",IN
117.212.0.0/20,"BSNL-NIB National Internet Backbone",IN
117.214.176.0/20,"BSNL-NIB National Internet Backbone",IN
117.215.128.0/20,"BSNL-NIB National Internet Backbone",IN
117.218.16.0/20,"BSNL-NIB National Internet Backbone",IN
117.22.0.0/15,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
117.239.105.128/29,"BSNL-NIB National Internet Backbone",IN
117.247.0.0/16,"BSNL-NIB National Internet Backbone",IN
117.253.208.0/20,"BSNL-NIB National Internet Backbone",IN
117.253.224.0/20,"BSNL-NIB National Internet Backbone",IN
117.253.240.0/20,"BSNL-NIB National Internet Backbone",IN
117.3.64.0/18,"VIETEL-AS-AP Viettel Corporation",VN
117.3.64.0/20,"VIETEL-AS-AP Viettel Corporation",VN
118.139.160.0/19,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US
118.151.0.0/17,"IIJ Internet Initiative Japan Inc.",JP
118.163.0.0/16,"HINET Data Communication Business Group",TW
118.170.0.0/16,"HINET Data Communication Business Group",TW
118.172.168.0/24,"TOTNET-TH-AS-AP TOT Public Company Limited",TH
118.173.64.0/18,"TOTNET-TH-AS-AP TOT Public Company Limited",TH
118.175.86.0/24,"TOT-NET TOT Public Company Limited",TH
118.192.0.0/16,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
118.200.0.0/16,"MAGIX-SG-AP Magix Broadband Network",SG
118.211.0.0/16,"INTERNODE-AS Internode Pty Ltd",AU
118.223.0.0/16,"HANARO-AS Hanaro Telecom Inc.",KR
118.233.112.0/22,"TFN-TW Taiwan Fixed Network, Telco and Network Service Provider.",TW
118.244.224.0/19,"CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network",CN
118.32.0.0/12,"KIXS-AS-KR Korea Telecom",KR
118.69.225.0/24,"FPT-AS-AP The Corporation for Financing & Promoting Technology",VN
118.69.48.0/20,"FPT-AS-AP The Corporation for Financing & Promoting Technology",VN
118.70.16.0/20,"FPT-AS-AP The Corporation for Financing & Promoting Technology",VN
118.86.0.0/16,"JCN Jupiter Telecommunications Co., Ltd.",JP
118.93.0.0/16,"VODAFONE-NZ-NGN-AS Vodafone NZ Ltd.",NZ
118.98.72.0/22,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
119.120.0.0/13,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
119.147.144.0/20,"CHINATELECOM-GUANGDONG-IDC Guangdong",CN
119.17.224.0/19,"NETNAMHCMC-AS-AP Branch of Netnam Company in Ho Chi Minh City",VN
119.176.0.0/12,"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN
119.192.0.0/12,"KIXS-AS-KR Korea Telecom",KR
119.28.0.0/21,NO_N,ZZ
119.29.94.0/23,"CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited",CN
119.30.32.0/20,"GRAMEENPHONE-AS-AP GrameenPhone Ltd.",BD
119.47.91.0/24,"MLINK-AS-ID JAWA POS NATIONAL NETWORK MEDIALINK, PT",ID
119.73.35.0/24,"AUGERE-PK AUGERE-Pakistan",PK
119.81.0.0/16,"SOFTLAYER - SoftLayer Technologies Inc.",US
119.81.0.0/18,"SOFTLAYER - SoftLayer Technologies Inc.",US
119.81.124.64/26,"SOFTLAYER - SoftLayer Technologies Inc.",US
119.81.192.0/19,"SOFTLAYER - SoftLayer Technologies Inc.",US
119.82.224.0/20,"ARSEN-AS-ID PT. Arsen Kusuma Indonesia",ID
119.95.128.0/19,"IPG-AS-AP Philippine Long Distance Telephone Company",PH
119.96.0.0/13,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
12.0.0.0/8,"ATT-INTERNET4 - AT&T Services, Inc.",US
120.138.16.0/20,"SITEHOST-AS-AP SiteHost New Zealand",NZ
120.144.0.0/13,"ASN-TELSTRA Telstra Pty Ltd",AU
120.192.0.0/10,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
120.195.40.0/21,"CMNET-JIANGSU-AP China Mobile communications corporation",CN
120.198.0.0/16,"CMNET-GUANGDONG-AP China Mobile communications corporation",CN
120.24.0.0/14,"CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd.",CN
120.32.0.0/13,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
120.40.0.0/14,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
120.60.128.0/17,"MTNL-AP Mahanagar Telephone Nigam Ltd.",IN
120.80.0.0/13,"CHINA169-GZ China Unicom IP network China169 Guangdong province",CN
121.12.168.0/21,"CHINATELECOM-GUANGDONG-IDC Guangdong",CN
121.200.54.0/24,"WLSNET-AS-AP Wireline Solution India Pvt Ltd.",IN
121.204.0.0/14,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
121.242.204.0/22,"TATACOMM-AS TATA Communications formerly VSNL is Leading ISP",IN
121.254.128.0/17,"LGDACOM LG DACOM Corporation",KR
121.40.0.0/14,"CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd.",CN
121.42.0.0/18,"CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd.",CN
121.54.48.0/20,"SMARTBRO-PH-AP Smart Broadband, Inc.",PH
121.54.52.0/22,"SMARTBRO-PH-AP Smart Broadband, Inc.",PH
121.75.0.0/16,"VODAFONE-NZ-NGN-AS Vodafone NZ Ltd.",NZ
121.78.195.0/24,"GABIA-AS-KR GABIA Inc.",KR
121.8.0.0/13,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
122.10.80.0/20,NO_N,ZZ
122.120.0.0/13,"HINET Data Communication Business Group",TW
122.152.167.0/24,"SERVERCENTRAL - Server Central Network",US
122.152.53.0/24,"IOLBD-AS Innovative Online Limited",BD
122.155.0.0/20,"CAT-AP The Communication Authoity of Thailand, CAT",TH
122.155.160.0/19,"CAT-AP The Communication Authoity of Thailand, CAT",TH
122.160.196.0/22,"AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services",IN
