cidr	origin	asname	country
104.201.123.0/24	46844	Sharktech	US
104.201.124.0/24	46844	Sharktech	US
104.201.125.0/24	46844	Sharktech	US
104.201.126.0/24	46844	Sharktech	US
104.201.127.0/24	46844	Sharktech	US
104.201.64.0/24	46844	Sharktech	US
104.201.65.0/24	46844	Sharktech	US
104.201.66.0/24	46844	Sharktech	US
104.201.67.0/24	46844	Sharktech	US
104.201.68.0/24	46844	Sharktech	US
104.201.69.0/24	46844	Sharktech	US
104.201.70.0/24	46844	Sharktech	US
104.201.71.0/24	46844	Sharktech	US
104.201.72.0/24	46844	Sharktech	US
104.201.73.0/24	46844	Sharktech	US
104.201.74.0/24	46844	Sharktech	US
104.201.75.0/24	46844	Sharktech	US
104.201.76.0/24	46844	Sharktech	US
104.201.77.0/24	46844	Sharktech	US
104.201.78.0/24	46844	Sharktech	US
104.201.79.0/24	46844	Sharktech	US
104.201.80.0/24	46844	Sharktech	US
104.201.81.0/24	46844	Sharktech	US
104.201.82.0/24	46844	Sharktech	US
104.201.83.0/24	46844	Sharktech	US
104.201.84.0/24	46844	Sharktech	US
104.201.85.0/24	46844	Sharktech	US
104.201.86.0/24	46844	Sharktech	US
104.201.87.0/24	46844	Sharktech	US
104.201.88.0/24	46844	Sharktech	US
104.201.89.0/24	46844	Sharktech	US
104.201.90.0/24	46844	Sharktech	US
104.201.91.0/24	46844	Sharktech	US
104.201.92.0/24	46844	Sharktech	US
104.201.93.0/24	46844	Sharktech	US
104.201.94.0/24	46844	Sharktech	US
104.201.95.0/24	46844	Sharktech	US
104.201.96.0/24	46844	Sharktech	US
104.201.97.0/24	46844	Sharktech	US
104.201.98.0/24	46844	Sharktech	US
104.201.99.0/24	46844	Sharktech	US
104.207.130.0/23	20473	"Choopa, LLC"	DE
104.207.136.0/21	20473	"Choopa, LLC"	US
104.207.144.0/22	20473	"Choopa, LLC"	US
104.207.148.0/22	20473	"Choopa, LLC"	US
104.207.152.0/22	20473	"Choopa, LLC"	US
104.207.156.0/22	20473	"Choopa, LLC"	US
104.208.0.0/13	8075	"Microsoft Corporation"	US
104.216.0.0/15	40676	"Psychz Networks"	US
104.216.110.0/24	40676	"Psychz Networks"	US
104.216.112.0/24	40676	"Psychz Networks"	US
104.216.241.0/24	40676	"Psychz Networks"	US
104.216.247.0/24	40676	"Psychz Networks"	US
104.216.53.0/24	40676	"Psychz Networks"	US
104.216.54.0/24	40676	"Psychz Networks"	US
104.216.57.0/24	40676	"Psychz Networks"	US
104.217.145.0/24	40676	"Psychz Networks"	US
104.217.146.0/24	40676	"Psychz Networks"	US
104.217.22.0/24	40676	"Psychz Networks"	US
104.217.225.0/24	40676	"Psychz Networks"	US
104.217.23.0/24	40676	"Psychz Networks"	US
104.217.24.0/24	40676	"Psychz Networks"	US
104.217.248.0/21	40676	"Psychz Networks"	US
104.217.34.0/24	40676	"Psychz Networks"	US
104.217.36.0/24	40676	"Psychz Networks"	US
104.217.38.0/24	40676	"Psychz Networks"	US
104.217.39.0/24	40676	"Psychz Networks"	US
104.217.40.0/24	40676	"Psychz Networks"	US
104.217.75.0/24	40676	"Psychz Networks"	US
104.218.160.0/21	40676	"Psychz Networks"	US
104.218.232.0/24	62904	"Eonix Corporation"	US
104.218.234.0/23	62904	"Eonix Corporation"	US
104.219.248.0/24	22612	"Namecheap, Inc."	US
104.219.249.0/24	22612	"Namecheap, Inc."	US
104.219.250.0/24	22612	"Namecheap, Inc."	US
104.219.251.0/24	22612	"Namecheap, Inc."	US
104.223.0.0/17	8100	"QuadraNet, Inc"	US
104.223.10.0/24	8100	"QuadraNet, Inc"	US
104.223.11.0/24	8100	"QuadraNet, Inc"	US
104.223.112.0/20	8100	"QuadraNet, Inc"	US
104.223.77.0/24	8100	"QuadraNet, Inc"	US
104.223.80.0/21	8100	"QuadraNet, Inc"	US
104.223.88.0/21	8100	"QuadraNet, Inc"	US
104.223.96.0/20	8100	"QuadraNet, Inc"	US
104.224.0.0/18	54334	"Roya Hosting LLC"	VE
104.236.0.0/16	393406	"Digital Ocean, Inc."	US
104.236.0.0/18	393406	"Digital Ocean, Inc."	US
104.236.128.0/18	14061	"Digital Ocean, Inc."	US
104.236.192.0/18	393406	"Digital Ocean, Inc."	US
104.236.64.0/18	393406	"Digital Ocean, Inc."	US
104.237.128.0/19	36351	"SoftLayer Technologies Inc."	US
104.237.128.0/21	36351	"SoftLayer Technologies Inc."	US
104.237.136.0/21	36351	"SoftLayer Technologies Inc."	US
104.237.144.0/24	63949	"Linode, LLC"	US
104.237.145.0/24	63949	"Linode, LLC"	US
104.237.146.0/24	63949	"Linode, LLC"	US
104.237.147.0/24	63949	"Linode, LLC"	US
104.237.148.0/24	63949	"Linode, LLC"	US
104.237.149.0/24	63949	"Linode, LLC"	US
104.237.150.0/24	63949	"Linode, LLC"	US
104.237.151.0/24	63949	"Linode, LLC"	US
104.237.152.0/21	6939	"Hurricane Electric, Inc."	US
104.238.100.0/22	26496	"GoDaddy.com, LLC"	US
104.238.104.0/22	26496	"GoDaddy.com, LLC"	US
104.238.112.0/22	26496	"GoDaddy.com, LLC"	US
104.238.116.0/22	26496	"GoDaddy.com, LLC"	US
104.238.120.0/22	26496	"GoDaddy.com, LLC"	US
104.238.124.0/22	26496	"GoDaddy.com, LLC"	US
104.238.128.0/18	20473	"Choopa, LLC"	US
104.238.128.0/21	20473	"Choopa, LLC"	US
104.238.138.0/23	20473	"Choopa, LLC"	US
104.238.143.0/24	20473	"Choopa, LLC"	US
104.238.144.0/22	20473	"Choopa, LLC"	US
104.238.144.0/23	20473	"Choopa, LLC"	US
104.238.148.0/22	20473	"Choopa, LLC"	JP
104.238.152.0/22	20473	"Choopa, LLC"	US
104.238.162.0/23	20473	"Choopa, LLC"	US
104.238.166.0/23	20473	"Choopa, LLC"	DE
104.238.168.0/22	20473	"Choopa, LLC"	GB
104.238.172.0/22	20473	"Choopa, LLC"	GB
104.238.176.0/23	20473	"Choopa, LLC"	DE
104.238.178.0/23	20473	"Choopa, LLC"	US
104.238.180.0/22	20473	"Choopa, LLC"	US
104.238.184.0/22	20473	"Choopa, LLC"	GB
104.238.188.0/22	20473	"Choopa, LLC"	FR
104.238.64.0/18	26496	"GoDaddy.com, LLC"	US
104.238.64.0/22	26496	"GoDaddy.com, LLC"	US
104.238.68.0/22	26496	"GoDaddy.com, LLC"	US
104.238.72.0/22	26496	"GoDaddy.com, LLC"	US
104.238.76.0/22	26496	"GoDaddy.com, LLC"	US
104.238.80.0/22	26496	"GoDaddy.com, LLC"	US
104.238.84.0/22	26496	"GoDaddy.com, LLC"	US
104.238.88.0/22	26496	"GoDaddy.com, LLC"	US
104.238.92.0/22	26496	"GoDaddy.com, LLC"	US
104.238.96.0/22	26496	"GoDaddy.com, LLC"	US
104.239.128.0/19	33070	"Rackspace Hosting"	US
104.239.160.0/19	27357	"Rackspace Hosting"	US
104.239.192.0/19	19994	"Rackspace Hosting"	US
104.239.224.0/20	27357	"Rackspace Hosting"	US
104.239.240.0/21	33070	"Rackspace Hosting"	US
104.239.248.0/21	27357	"Rackspace Hosting"	US
104.245.37.0/24	13768	"Peer 1 Network (USA) Inc."	CA
104.245.38.0/23	6364	"Atlantic.net, Inc."	US
104.251.224.0/21	11282	"SERVERYOU INC"	US
104.251.232.0/22	11282	"SERVERYOU INC"	US
104.251.236.0/23	11282	"SERVERYOU INC"	US
104.254.88.0/21			CA
104.255.171.0/24	13768	"Peer 1 Network (USA) Inc."	US
104.255.172.0/24	13768	"Peer 1 Network (USA) Inc."	US
104.255.225.0/24	8100	"QuadraNet, Inc"	US
104.255.64.0/21	46664	VolumeDrive	US
104.255.96.0/21	393398	"Dallas Infrastructure Services, LLC"	US
104.32.0.0/14	20001	"Time Warner Cable Internet LLC"	US
104.36.248.0/23	30548	"ARUBA NETWORKS, INC."	US
104.36.250.0/24	394189	"ARUBA NETWORKS, INC."	US
104.36.251.0/24	30548	"ARUBA NETWORKS, INC."	US
104.37.244.0/24	46844	Sharktech	US
104.37.245.0/24	46844	Sharktech	US
104.37.246.0/24	46844	Sharktech	US
104.37.247.0/24	46844	Sharktech	US
104.40.0.0/13	8075	"Microsoft Corporation"	US
105.101.0.0/16	36947	ALGTEL-AS	DZ
105.106.0.0/16	36947	ALGTEL-AS	DZ
105.109.128.0/19	36947	ALGTEL-AS	DZ
105.111.0.0/17	36947	ALGTEL-AS	DZ
105.152.0.0/16	6713	"Itissalat Al-MAGHRIB"	MA
105.155.144.0/21	36903	MT-MPLS	MA
105.158.16.0/21	36903	MT-MPLS	MA
105.208.0.0/12	16637	"MTN Business Solutions"	ZA
105.224.0.0/14	37457	Telkom-Internet	ZA
105.225.1.0/24	37457	Telkom-Internet	ZA
105.228.0.0/16	37457	Telkom-Internet	ZA
106.184.0.0/18	2516	"KDDI CORPORATION"	JP
106.185.0.0/17	2516	"KDDI CORPORATION"	JP
106.186.64.0/18	2516	"KDDI CORPORATION"	JP
106.240.0.0/12	3786	"LG DACOM Corporation"	KR
106.39.192.0/19	23724	"IDC, China Telecommunications Corporation"	CN
107.0.0.0/15	16567	"Netrix LLC"	US
107.0.22.0/24	7015	"Comcast Cable Communications Holdings, Inc"	US
107.150.0.0/20	62639	"QuadraNet, Inc"	US
107.150.16.0/22	62639	"QuadraNet, Inc"	US
107.150.20.0/23	62639	"QuadraNet, Inc"	US
107.150.24.0/24	174	"Cogent Communications"	US
107.150.25.0/24	62639	"QuadraNet, Inc"	US
107.150.26.0/24	8100	"QuadraNet, Inc"	US
107.150.30.0/24	62639	"QuadraNet, Inc"	US
107.150.31.0/24	8100	"QuadraNet, Inc"	US
107.150.32.0/19	33387	"DataShack, LC"	US
107.150.33.136/29	33387	"DataShack, LC"	US
107.151.192.0/18	40676	"Psychz Networks"	US
107.151.212.0/24	40676	"Psychz Networks"	US
107.155.64.0/18	54540	"Incero LLC"	US
107.155.87.0/24	54540	"Incero LLC"	US
107.160.0.0/16	40676	"Psychz Networks"	US
107.160.0.0/24	40676	"Psychz Networks"	US
107.160.138.0/24	40676	"Psychz Networks"	US
107.160.139.0/24	40676	"Psychz Networks"	US
107.160.157.0/24	40676	"Psychz Networks"	US
107.160.161.0/24	40676	"Psychz Networks"	US
107.160.162.0/24	40676	"Psychz Networks"	US
107.160.177.0/24	40676	"Psychz Networks"	US
107.160.202.0/24	40676	"Psychz Networks"	US
107.160.225.0/24	40676	"Psychz Networks"	US
107.160.23.0/24	40676	"Psychz Networks"	US
107.160.31.0/24	40676	"Psychz Networks"	US
107.160.37.0/24	40676	"Psychz Networks"	US
107.160.52.0/24	40676	"Psychz Networks"	US
107.160.56.0/24	40676	"Psychz Networks"	US
107.160.68.0/24	40676	"Psychz Networks"	US
107.160.86.0/24	40676	"Psychz Networks"	US
107.160.87.0/24	40676	"Psychz Networks"	US
107.161.144.0/20	36352	ColoCrossing	US
107.161.159.0/24	36352	ColoCrossing	CA
107.161.176.0/20	33182	"HostDime.com, Inc."	US
107.161.184.0/24	33182	"HostDime.com, Inc."	US
107.161.80.0/20	8100	"QuadraNet, Inc"	US
107.161.84.0/22	8100	"QuadraNet, Inc"	US
107.161.86.0/23	8100	"QuadraNet, Inc"	US
107.161.88.0/23	8100	"QuadraNet, Inc"	US
107.167.0.0/19	46844	Sharktech	US
107.167.0.0/24	46844	Sharktech	US
107.167.1.0/24	46844	Sharktech	US
107.167.10.0/24	46844	Sharktech	US
107.167.11.0/24	46844	Sharktech	US
107.167.12.0/24	46844	Sharktech	US
107.167.13.0/24	46844	Sharktech	US
107.167.14.0/24	46844	Sharktech	US
107.167.15.0/24	46844	Sharktech	US
107.167.16.0/24	46844	Sharktech	US
107.167.17.0/24	46844	Sharktech	US
107.167.18.0/24	46844	Sharktech	US
107.167.19.0/24	46844	Sharktech	US
107.167.2.0/24	46844	Sharktech	US
107.167.20.0/24	46844	Sharktech	US
107.167.21.0/24	46844	Sharktech	US
107.167.22.0/24	46844	Sharktech	US
107.167.23.0/24	46844	Sharktech	US
107.167.24.0/24	46844	Sharktech	US
107.167.25.0/24	46844	Sharktech	US
107.167.26.0/24	46844	Sharktech	US
107.167.27.0/24	46844	Sharktech	US
107.167.28.0/24	46844	Sharktech	US
107.167.3.0/24	46844	Sharktech	US
